user_id,name,gender,age,city,region,registration_date,primary_app,preferred_device,credit_score,monthly_income_uzs,identity_verified,historical_tx_count
U000000,Mahliyo Karimov,F,22,Guliston,Sirdaryo,2021-07-11,Hamkorbank,Web,525,4284250,1,243
U000001,Dilshod Nazarov,M,59,Fergana,Fergana,2019-09-07,Ipak Yo'li,Web,574,5034268,1,199
U000002,Nodir Yusupov,M,53,Qarshi,Qashqadaryo,2020-10-12,TBC Uzbekistan,Web,462,3484851,1,73
U000003,Ulugbek Umarov,M,41,Andijan,Andijan,2022-12-29,Click,iOS,598,3082568,1,151
U000004,Sitora Sobirov,F,41,Jizzakh,Jizzakh,2022-01-15,Anorbank,Web,623,1014612,1,400
U000005,Nodira Karimov,F,64,Tashkent,Tashkent City,2023-12-09,TBC Uzbekistan,Android,615,3679581,1,727
U000006,Zulfiya Mirzayev,F,22,Namangan,Namangan,2022-11-16,Hamkorbank,USSD,531,5003121,1,292
U000007,Nodir Karimov,M,55,Guliston,Sirdaryo,2020-10-19,Ipak Yo'li,Android,680,3380668,1,468
U000008,Robiya Mirzayev,F,28,Nukus,Karakalpakstan,2022-10-31,TBC Uzbekistan,Android,519,2188897,0,210
U000009,Ibrohim Sobirov,M,23,Bukhara,Bukhara,2023-04-29,Kapitalbank Mobile,Android,508,1277920,1,674
U000010,Nodir Xoliqov,M,46,Andijan,Andijan,2022-02-25,Kapitalbank Mobile,iOS,722,4593295,1,60
U000011,Kamol Xasanov,M,70,Namangan,Namangan,2022-10-23,Click,Android,417,3570269,1,211
U000012,Nilufar Ergashev,F,57,Fergana,Fergana,2021-07-07,Hamkorbank,iOS,345,8058550,1,791
U000013,Mohira Boymurodov,F,59,Bukhara,Bukhara,2023-07-22,Uzum Bank,Android,445,1466861,1,379
U000014,Gulnora Yusupov,F,56,Andijan,Andijan,2020-03-09,Kapitalbank Mobile,Android,596,2639469,1,620
U000015,Dilnoza Boymurodov,F,60,Jizzakh,Jizzakh,2021-02-13,TBC Uzbekistan,Web,704,1584040,1,205
U000016,Ulugbek Umarov,M,45,Tashkent,Tashkent City,2020-04-08,Payme,Android,470,6475037,1,662
U000017,Sarvinoz Toshmatov,F,24,Urgench,Xorazm,2019-07-04,Click,iOS,767,7360919,0,127
U000018,Alisher Salimov,M,63,Tashkent,Tashkent City,2022-01-29,Click,Web,553,11092987,1,342
U000019,Dilfuza Xasanov,F,42,Nukus,Karakalpakstan,2019-08-05,Uzum Bank,Android,536,4785630,1,311
U000020,Bobur Xoliqov,M,45,Termez,Surxondaryo,2020-02-17,TBC Uzbekistan,Android,448,5619959,1,734
U000021,Robiya Toshmatov,F,38,Guliston,Sirdaryo,2022-10-24,Payme,Android,784,4546752,1,2
U000022,Sarvinoz Umarov,F,27,Namangan,Namangan,2020-03-15,TBC Uzbekistan,iOS,531,4936351,1,766
U000023,Robiya Qodirov,F,68,Tashkent,Tashkent City,2023-04-25,TBC Uzbekistan,iOS,390,3604593,1,711
U000024,Dilfuza Salimov,F,60,Urgench,Xorazm,2019-03-31,Uzum Bank,Android,844,5073646,1,251
